enemytype,direction,position,timestart,timestop,timeresume,speed
1,top,-0.5,2,100,100,0.4
1,top,0.3,2.75,100,100,0.4
1,top,-0.2,3.5,100,100,0.4
1,top,0.05,4.25,100,100,0.4
1,left,0.5,5.5,7,9.5,0.4
1,left,0.7,5.5,7,9.5,0.4
1,top,0,5.5,7,9.5,0.4
1,top,0,6,7,9.5,0.4
1,right,0.5,5.5,7,9.5,0.4
1,right,0.7,5.5,7,9.5,0.4
1,left,0.5,6.1,7,9.5,0.4
1,left,0.7,6.1,7,9.5,0.4
1,right,0.5,6.1,7,9.5,0.4
1,right,0.7,6.1,7,9.5,0.4
1,left,-0.15,10,11,14,0.4
1,left,0,10.5,11.5,14.5,0.4
1,left,0.15,11,12,15,0.4
1,left,0.3,11.5,12.5,15.5,0.4
1,left,0.45,12,13,16,0.4
1,left,0.6,12.5,13.5,16.5,0.4
1,left,0.75,13,14,17,0.4
1,right,-0.15,13.5,14.5,17.5,0.4
1,right,0,14,15,18,0.4
1,right,0.15,14.5,15.5,18.5,0.4
1,right,0.3,15,16,19,0.4
1,right,0.45,15.5,16.5,19.5,0.4
1,right,0.6,16,17,20,0.4
1,right,0.75,16.5,17.5,20.5,0.4
1,left,0.5,17.5,100,100,0.4
1,left,0.5,18,100,100,0.4
1,left,0.5,18.5,100,100,0.4
1,left,0.5,19,100,100,0.4
1,left,0.5,19.5,100,100,0.4
1,left,0.5,20,100,100,0.4
1,left,0.5,20.5,100,100,0.4
1,left,0.5,21,100,100,0.4
1,left,0.5,21.5,100,100,0.4
1,left,0.5,22,100,100,0.4
1,left,0.5,22.5,100,100,0.4
1,right,0.35,24,100,100,0.4
1,right,0.35,24.5,100,100,0.4
1,right,0.35,25,100,100,0.4
1,right,0.35,25.5,100,100,0.4
1,right,0.35,26,100,100,0.4
1,right,0.35,26.5,100,100,0.4
1,right,0.35,27,100,100,0.4
1,right,0.35,27.5,100,100,0.4
1,right,0.35,28,100,100,0.4
1,right,0.35,28.5,100,100,0.4
1,right,0.35,29,100,100,0.4
2,top,-0.35,30.5,100,100,0.3
2,top,0.35,30.5,100,100,0.3
2,top,0,34.5,100,100,0.3
1,top,-0.1,36.5,100,100,0.4
1,top,-0.3,37.5,100,100,0.4
1,top,-0.5,38.5,100,100,0.4
1,top,-0.7,39.5,100,100,0.4
1,top,0.1,36.5,100,100,0.4
1,top,0.3,37.5,100,100,0.4
1,top,0.5,38.5,100,100,0.4
1,top,0.7,39.5,100,100,0.4
100,top,0,43.5,0.7,,
